custo_medio_venda;faturamento_margem_lucro_liquido;percentual;preco_medio_venda;vei_peso_liquido;vei_produto_codigo_interno;vei_produto_nome;vei_produto_sku;vei_produto_unidade;vei_quantidade;vei_valor_total
8,15;47,117;0,13;11,99;0;8802;LAVA ROUPAS OESTE LIQUIDO 2L;;UN;12;143,88
8,36;43,421;0,13;11,99;0;16698;MARSHMALLOWS CAMPING FINI 250GR;;UN;12;143,88
2,15;39,535;0,12;3;0;8215;CERVEJA BAVARIA LATA 350ML 1UN;;UN;48;143,5
3,99;25,063;0,12;4,99;0;78983663;H2O LIMONETO 500ml;;UN;29;142,95
3,48;57,759;0,12;5,49;0;19138;SUCO NUTRI NECTAR MARACUJA 1L;;UN;26;142,74
7,51;59,654;0,12;11,99;0;18306;PAPEL HIGIENICO BEST LITE FOLHA DUPLA 20X10 12 ROLOS;;UN;12;142,49
0,66;203,03;0,12;2;0;16617;AGUA SEM GAS MARIZA 500ml;;UN;74;142
3,6;30,741;0,12;4,707;0;1810;DORITOS  SWEET CHILI 37G;;UN;30;141,2
2,29;74,672;0,12;4;0;7897;GUARANA ANTARCTICA LATA 350ml -UNIDADE;;UN;35;140
16,53;111,676;0,12;34,99;0;17364;VINHO TINTO CHILANO VINTAGE COLLECTION CABERNET SAUVIGNON SECO 750ML;;UN;4;139,96
20,45;36,87;0,12;27,99;0;8185;QUEIJO MINAS PADRAO PIRACANJUBA Pç;;UN;5;139,95
10,32;50,097;0,12;15,49;0;6201;LASANHA DE FRANGO  PERDIGAO 600G;;UN;9;139,41
9,94;55,835;0,12;15,49;0;9503;LASANHA CALABRESA PERDIGAO 600G;;UN;9;139,41
5,691;44,01;0,12;8,196;0;8422;BISCOITO BAUDUCCO CHOCO BISCUIT AO LEITE 80G;;UN;17;139,33
1,56;92,308;0,12;3;0;4791;AGUA MINERAL COM GAS CRYSTAL LIA 500ML ;;UN;46;138
10,64;44,016;0,12;15,323;0;4784;ENERGETICO EXTRA POWER 2L;;UN;9;137,91
4,27;51,991;0,12;6,49;0;5863;COOKIES BAUDUCCO ORIGINAL 100G;;UN;21;136,29
44;53,409;0,12;67,5;0;26253235791;VINHO DO PORTO PERIQUITA RESERVA 750ML;12383381;UN;2;135
20,8;29,76;0,12;26,99;0;18695;REQUEIJAO CULINARIO CANTO DE MINAS 1,8KG;;UN;5;134,95
39,61;51,452;0,12;59,99;0;17752;PROTETOR SOLAR NIVEA SUN FPS50 200ml;;UN;3;134,83
5,915;41,98;0,12;8,398;0;19808;CORONA ZERO SUNBREW 330ML;;UN;16;134,37
11,49;43,516;0,11;16,49;0;8501;DOCE DE LEITE MINI CANUDO 260G;;UN;8;131,92
3,48;57,759;0,11;5,49;0;11330;SUCO NUTRI NECTAR CAJU 1L;;UN;24;131,76
0,807;22,647;0,11;0,99;0;11666;HAMBURGUER MISTO FRIBOI 56G;;UN;132;130,64
14,86;47,308;0,11;21,89;0;6291;PAPEL HIGIENICO TERNURA PREMIUM  16 ROLOS - 30mts;;UN;6;129,24
42,775;50,789;0,11;64,5;0;483432091;SAND HAV MASC DUAL BCO 39/0 UN/0001/UN;463386;UN;2;129
42,765;50,824;0,11;64,5;0;26253235930;SAND HAV MASC DUAL VDE OLIVA/BCO 41/2 UN/0001/UN;471412;UN;2;129
2,954;51,389;0,11;4,473;0;5514;PAPEL TOALHA TERNURA 2 ROLOS;;UN;29;128,78
2,63;48,289;0,11;3,9;0;13511;PRESTOBARBA GILLETTE ULTRAGRIP 1UN;;UN;33;128,7
20;60;0,11;32;0;26253235561;NECTAR DIAMANTE COM LAKA POTE 2lts ;;UN;4;128
5,68;40,669;0,11;7,99;0;16774;CREME DE QUEIJO TRADICIONAL QUATÁ 180G;;UN;16;127,84
4,94;51,619;0,11;7,49;0;2347;ACHOCOLATADO TODDY ORIGINAL 200G;;UN;17;127,33
21,9;43,79;0,11;31,49;0;16775;LAVA ROUPAS BRILHANTE LIMPEZA TOTAL 2,2 KG;;UN;4;125,96
4,96;40,927;0,11;6,99;0;10615;ALCOOL ITAJA 70 1 LITRO;;UN;18;125,82
4,95;31,111;0,11;6,49;0;5476;ACHOCOLATADO PIRAKIDS 1LT;;UN;19;123,31
2,319;63,703;0,11;3,797;0;483431990;GATORADE ZERO CAL FRUTAS SILV PET 350ML;0029495;UN;32;121,5
7,79;41,078;0,11;10,99;0;11127;CHOCOLATE ALPINO 85G;;UN;11;120,89
21,5;39,488;0,1;29,99;0;78983773; MAIONESE HEINZ - CAIXA COM SACHES ;;CX;4;119,96
8,32;140,264;0,1;19,99;0;2690;CAFE EM PO RANCHEIRO EXTRAFORTE 250G;;UN;6;119,94
10,9;83,394;0,1;19,99;0;13876;CABO PRATICELL IPHONE ;;UN;6;119,94
7,95;50,818;0,1;11,99;0;7372;BATATA RUFFLES CHURRASCO 76G;;UN;10;119,9
2,5;39,6;0,1;3,49;0;2653;PIRACANJUBA CREME DE LEITE  200G;;UN;34;118,44
35;12,829;0,1;39,49;0;2689;CAFE EM PO RANCHEIRO EXTRAFORTE 500G;;UN;3;118,22
2,57;55,642;0,1;4;0;5963;CERVEJA PETRA LATA 350ml;;UN;29;116
7,63;37,484;0,1;10,49;0;14214;COXINHA ASA COM OSSO IQF JAGUA - 700g;;UN;11;115,39
1,99;75,377;0,1;3,49;0;3960;MILHO VERDE FUGINI 170/260g;;UN;33;115,17
15,49;48,418;0,1;22,99;0;84;SABAO EM PO TIXAN YPE MACIEZ 1,6KG;;UN;5;114,95
4,79;-4,175;0,1;4,59;0;5001;LEITE PIRACANJUBA DESNATADO 1L;;UN;25;114,75
14,52;30,785;0,1;18,99;0;8678;CAFE 3 CORAÇOES EXTRAFORTE 250G;;UN;6;113,94
5,216;53,191;0,1;7,99;0;12383;ROSQUINHA DE COCO RANCHEIRO 600G;;UN;14;111,86
5;29,8;0,1;6,49;0;5002;LEITE ZERO LACTOSE PIRACANJUBA 1L;;UN;17;110,33
7,49;46,729;0,1;10,99;0;14351;PAO DE HOT DOG 500G GOLDEN SOFT;;UN;10;109,9
11,8;705,085;0,1;95;0;17861;QUEIJO GORGONZOLA PEDAÇO QUATA - quilo ;;UN;1,16;109,72
7,8;16,859;0,1;9,115;0;18939;DORITOS SWEET CHILI 75G;;UN;12;109,38
6,7;47,761;0,09;9,9;0;7917;CHOCOLATE LACTA AMARO 40/CACAU 80g;;UN;11;108,9
4,89;39,11;0,09;6,803;0;4831;GATORADE TANGERINA 500ML;;UN;16;108,84
0,89;68,539;0,09;1,5;0;8327;BOMBOM OURO BRANCO 1UN;;UN;72;108
17,75;52,056;0,09;26,99;0;17996;AMACIANTE DOWNY BRISA DE VERAO 1L;;UN;4;107,96
10,63;69,238;0,09;17,99;0;5467;MARGARINA DELICIA COM SAL 1KG;;UN;6;107,94
